#date,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2020-01-31,2.0,0,2.0,0,0,0,0,
2020-02-01,0.0,0,2.0,0,0,0,0,
2020-02-02,0.0,0,2.0,0,0,0,0,
2020-02-03,0.0,0,2.0,0,0,0,0,
2020-02-04,0.0,0,2.0,0,0,0,0,
2020-02-05,0.0,0,2.0,0,2.0,0.0,0,
2020-02-06,0.0,0,2.0,0,2.0,0.0,0,
2020-02-07,1.0,0,3.0,0,1.0,0.0,0,
2020-02-08,0.0,0,3.0,0,1.0,0.0,0,
2020-02-09,0.0,0,3.0,0,1.0,0.0,0,
2020-02-10,0.0,0,3.0,0,1.0,0.0,0,
2020-02-11,0.0,0,3.0,0,1.0,0.0,0,
2020-02-12,0.0,0,3.0,0,1.0,0.0,3.0,0.0
2020-02-13,0.0,0,3.0,0,1.0,0.0,3.0,0.0
2020-02-14,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-15,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-16,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-17,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-18,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-19,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-20,0.0,0,3.0,0,0.0,0.0,1.0,0.0
2020-02-21,17.0,1.0,20.0,1.0,17.0,1.0,17.0,1.0
2020-02-22,42.0,1.0,62.0,2.0,59.0,2.0,59.0,2.0
2020-02-23,93.0,1.0,155.0,3.0,152.0,3.0,152.0,3.0
2020-02-24,74.0,4.0,229.0,7.0,226.0,7.0,226.0,7.0
2020-02-25,93.0,3.0,322.0,10.0,319.0,10.0,319.0,10.0
2020-02-26,131.0,2.0,453.0,12.0,450.0,12.0,450.0,12.0
2020-02-27,202.0,5.0,655.0,17.0,652.0,17.0,652.0,17.0
2020-02-28,233.0,4.0,888.0,21.0,868.0,20.0,885.0,21.0
2020-02-29,240.0,8.0,1128.0,29.0,1066.0,27.0,1125.0,29.0
2020-03-01,566.0,5.0,1694.0,34.0,1539.0,31.0,1691.0,34.0
2020-03-02,342.0,18.0,2036.0,52.0,1807.0,45.0,2033.0,52.0
2020-03-03,466.0,27.0,2502.0,79.0,2180.0,69.0,2499.0,79.0
2020-03-04,587.0,28.0,3089.0,107.0,2636.0,95.0,3086.0,107.0
2020-03-05,769.0,41.0,3858.0,148.0,3203.0,131.0,3855.0,148.0
2020-03-06,778.0,49.0,4636.0,197.0,3748.0,176.0,4616.0,196.0
2020-03-07,1247.0,36.0,5883.0,233.0,4755.0,204.0,5821.0,231.0
2020-03-08,1492.0,133.0,7375.0,366.0,5681.0,332.0,7220.0,363.0
2020-03-09,1797.0,97.0,9172.0,463.0,7136.0,411.0,8943.0,456.0
2020-03-10,977.0,168.0,10149.0,631.0,7647.0,552.0,9827.0,621.0
2020-03-11,2313.0,196.0,12462.0,827.0,9373.0,720.0,12009.0,815.0
2020-03-12,2651.0,189.0,15113.0,1016.0,11255.0,868.0,14458.0,999.0
2020-03-13,2547.0,250.0,17660.0,1266.0,13024.0,1069.0,16772.0,1245.0
2020-03-14,3497.0,175.0,21157.0,1441.0,15274.0,1208.0,20029.0,1412.0
2020-03-15,3590.0,368.0,24747.0,1809.0,17372.0,1443.0,23053.0,1775.0
2020-03-16,3233.0,349.0,27980.0,2158.0,18808.0,1695.0,25944.0,2106.0
2020-03-17,3526.0,345.0,31506.0,2503.0,21357.0,1872.0,29004.0,2424.0
2020-03-18,4207.0,475.0,35713.0,2978.0,23251.0,2151.0,32624.0,2871.0
2020-03-19,5322.0,427.0,41035.0,3405.0,25922.0,2389.0,37177.0,3257.0
2020-03-20,5986.0,627.0,47021.0,4032.0,29361.0,2766.0,42385.0,3835.0
2020-03-21,6557.0,793.0,53578.0,4825.0,32421.0,3384.0,47695.0,4592.0
2020-03-22,5560.0,651.0,59138.0,5476.0,34391.0,3667.0,51763.0,5110.0
2020-03-23,4789.0,601.0,63927.0,6077.0,35947.0,3919.0,54755.0,5614.0
2020-03-24,5249.0,743.0,69176.0,6820.0,37670.0,4317.0,59027.0,6189.0
2020-03-25,5210.0,683.0,74386.0,7503.0,38673.0,4525.0,61924.0,6676.0
2020-03-26,6203.0,712.0,80589.0,8215.0,39554.0,4810.0,65476.0,7199.0
2020-03-27,5909.0,919.0,86498.0,9134.0,39477.0,5102.0,68838.0,7868.0
2020-03-28,5974.0,889.0,92472.0,10023.0,38894.0,5198.0,71315.0,8582.0
2020-03-29,5217.0,756.0,97689.0,10779.0,38551.0,5303.0,72942.0,8970.0
2020-03-30,4050.0,812.0,101739.0,11591.0,37812.0,5514.0,73759.0,9433.0
2020-03-31,4053.0,837.0,105792.0,12428.0,36616.0,5608.0,74286.0,9925.0
